WKT,name,description
"POINT (-99.1862786 19.4260032)",Museo Nacional de Antropología,
"POINT (-99.181935 19.4204397)",Chapultepec Castle,
"POINT (-99.1412 19.4352)",Palacio de Bellas Artes,
"POINT (-99.11241389999999 19.2576998)",Xochimilco,
"POINT (-98.8458546 19.69062509999999)",Pyramids of Teotihuacan,
"POINT (-99.16766469999999 19.4270245)",The Angel of Independence,
"POINT (-99.1624636 19.3551806)",Frida Kahlo Museum,
"POINT (-99.2047001 19.4406926)",Museo Soumaya,
"POINT (-99.13188099999999 19.4346038)",Templo Mayor Museum,
"POINT (-99.1332049 19.4326018)",Zócalo,
"POINT (-99.11787419999999 19.4847897)",Basilica of Our Lady of Guadalupe,
"POINT (-99.1651425 19.4288381)",Paseo de la Reforma,
"POINT (-99.1313531 19.4328868)",National Palace,
"POINT (-99.14685639999999 19.436172)",Diego Rivera Mural Museum,
"POINT (-99.1566855 19.3261763)",Coyoacán,
"POINT (-99.1912014 19.4155985)",Complejo Cultural de Los Pinos,
"POINT (-99.14949999999999 19.430768)",Mercado de Artesanías La Ciudadela,
"POINT (-99.15463330000001 19.4361972)",National Museum of the Revolution,
"POINT (-99.1406428 19.433921)",Torre Latinoamericana,
"POINT (-99.1401815 19.4342214)",The House of Tiles,
"POINT (-99.13939549999999 19.4362023)",National Art Museum,
"POINT (-99.1595799 19.3576775)",Leon Trotsky's House Museum,
"POINT (-99.150819 19.4471608)",Biblioteca Vasconcelos,
"POINT (-99.1505277 19.3028607)",Aztec Stadium,
"POINT (-99.19265000000001 19.3449312)",El Bazar Sábado,
"POINT (-99.16455470000001 19.414186)",Mercado Roma,
