WKT,name,description
"POINT (-99.16061599999999 19.4199371)",Panadería Rosetta,
"POINT (-99.15955400000001 19.4180958)",Marcello,
"POINT (-99.19288069999999 19.4294428)",Maison Belén,
"POINT (-99.17116899999999 19.41034699999999)",Maque,
"POINT (-99.13811469999999 19.4273224)",Zéfiro,
"POINT (-99.1283189 19.2946363)",Porfirio's Coapa | Restaurante de comida mexicana,
"POINT (-99.1570156 19.4316877)",Condimento Emporio CDMX,
"POINT (-99.19830189999999 19.43026)",Karpos Polanco,
"POINT (-99.1635572 19.3496897)",Corazón de Maguey,
"POINT (-99.16920309999999 19.428505)",Asaderos Grill,
"POINT (-99.1547143 19.432281)",La Distral,
"POINT (-99.1936868 19.4317158)",Colmillo Masaryk Polanco - Steakhouse "Regio", "HQ-Street-Flavored" Tacos, Seafood & Cocktail-bar,
"POINT (-99.16937039999999 19.428179)",Fonda del Recuerdo,
